geometry,event_uniq,occurrence,district,divisional,near_x,x_coordina,orig_fid,crimestopp,y_coordina,near_y,near_dist,event_un_1,y,x,near_fid,objectid
POINT (-79.5187626478 43.7691632928),GO-2016120526,2016-01-20T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5187626481,619242,34,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847189,43.7691632927,0.00109525129284,120526,43.7681,-79.5185,13285,35
POINT (-79.4410223111 43.7201271215),GO-2016120681,2016-01-21T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4410223114,625570,35,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841920,43.7201271219,0.000434129766381,120681,43.7197,-79.4411,14573,36
POINT (-79.4410223111 43.7201271215),GO-2016120681,2016-01-21T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4410223114,625570,36,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841920,43.7201271219,0.000434129766381,120681,43.7197,-79.4411,14573,37
POINT (-79.5522318926 43.6987306231),GO-2016124306,2016-01-21T00:00:00.000Z,d23,http://www.torontopolice.on.ca/d23/,-79.552231893,616587,37,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4839385,43.6987306229,0.000969043768329,124306,43.6983,-79.5531,12580,38
POINT (-79.4410223111 43.7201271215),GO-2016120681,2016-01-21T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4410223114,625570,38,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841920,43.7201271219,0.000434129766381,120681,43.7197,-79.4411,14573,39
POINT (-79.3030446455 43.7943125928),GO-2016124679,2016-01-21T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.3030446456,636442,39,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4850555,43.7943125927,0.00152402041317,124679,43.7955,-79.304,8417,40
POINT (-79.4410223111 43.7201271215),GO-2016120681,2016-01-21T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4410223114,625570,40,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841920,43.7201271219,0.000434129766381,120681,43.7197,-79.4411,14573,41
POINT (-79.5041149238 43.7141368605),GO-2016133360,2016-01-23T00:00:00.000Z,d12,http://www.torontopolice.on.ca/d12/,-79.5041149239,620469,41,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841243,43.7141368602,0.000551852683618,133360,43.7144,-79.5046,18494,42
POINT (-79.4012713549 43.6403697449),GO-2016139437,2016-01-24T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.4012713552,628811,42,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4833120,43.6403697451,0.00179133283015,139437,43.6399,-79.403,22332,43
POINT (-79.2531289076 43.7698412368),GO-2016139786,2016-01-24T00:00:00.000Z,d43,http://www.torontopolice.on.ca/d43/,-79.2531289079,640595,43,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847749,43.7698412371,0.000442183050865,139786,43.7694,-79.2531,215,44
POINT (-79.4012713549 43.6403697449),GO-2016139437,2016-01-24T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.4012713552,628811,44,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4833120,43.6403697451,0.00179133283015,139437,43.6399,-79.403,22332,45
POINT (-79.3009575223 43.7139277286),GO-2016139628,2016-01-24T00:00:00.000Z,d54,http://www.torontopolice.on.ca/d54/,-79.3009575223,636803,45,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4841497,43.7139277283,0.000842933897105,139628,43.7139,-79.3018,8557,46
POINT (-79.5196889036 43.765908729),GO-2016143177,2016-01-24T00:00:00.000Z,d31,http://www.torontopolice.on.ca/d31/,-79.5196889037,619316,46,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847040,43.7659087291,0.00227109720233,143177,43.7668,-79.5176,13263,47
POINT (-79.4456791797 43.7721199111),GO-2016156688,2016-01-27T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4456791796,624945,47,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4847454,43.7721199109,0.00316851730598,156688,43.7696,-79.4476,14437,48
POINT (-79.4675850945 43.7054773893),GO-2016173014,2016-01-29T00:00:00.000Z,d13,http://www.torontopolice.on.ca/d13/,-79.4675850946,623533,48,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4840397,43.705477389,0.00120833819696,173014,43.7063,-79.4667,19989,49
POINT (-79.5258006621 43.638339341),GO-2016180451,2016-01-30T00:00:00.000Z,d22,http://www.torontopolice.on.ca/d22/,-79.5258006618,618941,49,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4832795,43.638339341,0.000477988499361,180451,43.6386,-79.5254,17535,50
POINT (-79.4005970504 43.6478879072),GO-2016183008,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.4005970501,629019,50,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834034,43.6478879071,0.000450146865127,183008,43.6481,-79.4002,22346,51
POINT (-79.3984458145 43.6538960449),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.3984458141,629068,51,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.6538960452,0.000959007539999,181573,43.6538,-79.3994,22397,52
POINT (-79.3984458145 43.6538960449),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.3984458141,629068,52,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.6538960452,0.000959007539999,181573,43.6538,-79.3994,22397,53
POINT (-79.3984458145 43.6538960449),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.3984458141,629068,53,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.6538960452,0.000959007539999,181573,43.6538,-79.3994,22397,54
POINT (-79.3984458145 43.6538960449),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.3984458141,629068,54,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.6538960452,0.000959007539999,181573,43.6538,-79.3994,22397,55
POINT (-79.3984458145 43.6538960449),GO-2016181573,2016-01-31T00:00:00.000Z,d14,http://www.torontopolice.on.ca/d14/,-79.3984458141,629068,55,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834672,43.6538960452,0.000959007539999,181573,43.6538,-79.3994,22397,56
POINT (-79.2225329571 43.7993562552),GO-2016187071,2016-02-01T00:00:00.000Z,d42,http://www.torontopolice.on.ca/d42/,-79.2225329568,643031,56,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4851058,43.7993562552,0.000845407452776,187071,43.7987,-79.222,949,57
POINT (-79.4406725927 43.7278285647),GO-2016193392,2016-02-02T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4406725927,625592,57,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842940,43.7278285651,0.00107389128157,193392,43.7289,-79.4406,14581,58
POINT (-79.3777590252 43.6519634944),GO-2016196628,2016-02-02T00:00:00.000Z,d51,http://www.torontopolice.on.ca/d51/,-79.3777590252,630811,58,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4834461,43.6519634941,0.000389874123998,196628,43.6516,-79.3779,3770,59
POINT (-79.4406725927 43.7278285647),GO-2016193392,2016-02-02T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4406725927,625592,59,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842940,43.7278285651,0.00107389128157,193392,43.7289,-79.4406,14581,60
POINT (-79.4406725927 43.7278285647),GO-2016193392,2016-02-02T00:00:00.000Z,d32,http://www.torontopolice.on.ca/d32/,-79.4406725927,625592,60,https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,4842940,43.7278285651,0.00107389128157,193392,43.7289,-79.4406,14581,61
